UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL521042,0,0,0,0,7,0,0,8,10,24,0,0,0,0,0,0,0,0,0,0,0,5,9,7,5,7,3,0,8,52,14,34,68,63,101,82,75,40,29,505
UCL521043,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,4,8,8,0,0,0,30,12,18,36,55,84,107,76,27,4,409
UCL521044,0,0,3,3,0,3,11,13,3,39,0,0,0,0,0,0,0,0,0,0,0,6,3,5,14,9,13,14,13,74,11,33,65,64,73,121,122,89,23,605
UCL521045,0,0,0,0,0,0,7,12,7,28,0,0,0,0,0,0,0,0,0,0,5,3,11,6,20,24,36,15,11,131,12,16,48,39,51,97,140,62,34,495
UCL521046,7,3,0,0,8,8,17,7,0,57,0,0,0,0,0,0,0,3,0,8,0,3,9,11,5,12,12,4,0,50,32,60,100,81,102,80,51,24,3,535
UCL521047,0,0,0,3,0,0,8,13,5,29,0,0,0,0,0,0,0,0,0,0,0,0,12,5,9,10,3,0,0,41,7,18,63,62,84,89,68,36,12,438
UCL521048,0,0,0,0,0,3,8,14,12,41,0,0,0,0,0,0,0,0,0,0,0,3,18,11,5,24,13,14,8,94,14,35,90,85,86,161,181,95,34,788
UCL521049,4,6,15,14,9,11,0,3,0,54,0,0,0,0,0,0,0,0,0,12,3,4,4,6,3,4,0,0,0,35,30,57,88,87,66,46,11,4,0,395
UCL521050,0,0,0,0,0,0,0,10,4,16,0,0,0,0,0,0,0,0,0,0,6,5,9,5,4,7,12,3,0,55,21,41,97,95,69,95,108,43,19,587
UCL521051,0,0,4,0,0,10,9,9,4,28,0,0,0,0,0,0,0,0,0,0,3,4,3,13,13,6,4,12,3,67,19,62,82,92,122,152,80,49,10,666
UCL521052,0,0,0,4,4,6,7,8,0,37,0,0,0,0,0,0,0,0,0,3,4,4,20,29,18,20,10,3,4,121,36,36,101,118,101,90,49,25,0,563
UCL522001,7,3,9,4,10,9,8,0,0,42,0,0,0,0,0,0,0,4,0,10,0,8,0,3,3,3,5,0,0,19,32,54,89,71,54,30,17,4,3,346
UCL522002,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,6,9,0,0,22,9,13,30,23,38,41,64,29,9,240
UCL522003,0,0,0,0,3,0,0,4,3,14,0,0,0,0,0,0,0,0,0,0,0,5,4,11,3,0,0,0,0,23,14,33,53,38,37,14,11,6,4,209
UCL522004,3,0,0,7,9,8,0,0,0,25,0,0,0,0,0,4,5,3,0,16,0,0,0,4,0,0,0,0,0,4,37,31,45,38,26,25,9,3,0,216
UCL522005,0,4,3,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,5,6,0,0,0,4,0,16,23,9,55,55,24,22,9,9,0,203
UCL522006,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,7,0,0,0,11,17,33,33,46,70,69,52,21,8,347
UCL522007,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,5,12,22,17,17,42,58,21,9,187
UCL522008,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,5,0,26,4,5,22,19,21,40,37,14,4,169
UCL522009,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,12,4,0,0,0,26,15,28,42,49,79,49,25,10,0,299
UCL522010,0,0,0,0,0,4,12,7,0,24,0,0,0,0,0,0,4,0,0,7,3,0,0,0,3,0,0,0,0,8,12,16,31,40,43,52,58,26,10,287
UCL522011,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,5,17,3,4,11,3,5,50,6,22,36,54,26,41,52,20,9,266
UCL522012,0,0,0,0,0,0,3,10,4,17,0,0,0,0,0,0,0,5,0,3,0,0,5,3,5,9,10,5,0,37,9,9,55,36,49,92,92,53,16,412
UCL522013,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,5,3,0,22,22,17,35,49,74,79,44,19,8,340
UCL522014,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,16,0,13,21,29,26,36,19,9,0,163
UCL522015,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,5,0,0,0,16,9,25,66,39,24,31,23,3,0,214
UCL522016,0,0,0,0,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,14,3,3,5,41,8,6,21,30,29,46,33,29,5,215
UCL522017,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,8,3,36,8,15,35,36,49,75,76,27,5,319
UCL522018,0,0,0,0,0,0,6,5,0,8,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,7,10,0,0,27,0,9,9,5,14,22,52,11,0,133
UCL522019,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,5,0,0,3,31,5,3,10,25,22,38,26,9,8,150
UCL522020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,0,0,0,13,14,23,39,26,26,43,15,0,0,176
UCL522021,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,6,0,23,3,21,22,49,35,38,71,30,4,279
UCL522022,0,0,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,7,9,5,0,41,3,12,30,24,37,36,39,26,0,204
UCL522023,0,0,0,0,0,6,3,9,9,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,10,0,0,28,5,12,33,33,47,64,57,21,9,275
UCL522024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,10,8,5,11,12,23,62,74,37,10,233
UCL522025,0,0,0,0,0,0,8,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,12,15,8,3,64,9,21,34,49,43,75,91,49,20,388
UCL522026,0,0,0,0,0,0,0,8,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,14,4,6,19,12,24,49,93,58,10,264
UCL522027,0,0,0,0,0,0,3,6,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,7,5,3,33,3,18,28,42,35,64,51,37,7,292
UCL522028,0,0,6,0,0,7,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,4,0,17,0,6,18,6,6,38,33,24,5,134
UCL522029,0,0,0,0,0,0,6,0,5,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,4,0,0,0,16,9,10,49,55,43,42,44,16,3,284
