SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL51554,0,0,0,15,17,10,6,19,9,67
SAL51555,0,0,0,12,23,6,3,33,37,116
SAL51556,0,0,3,13,3,0,5,6,4,34
SAL51557,0,0,0,3,19,0,0,45,7,69
SAL51558,21,3,34,2125,2829,1093,969,2861,561,10434
SAL51559,0,0,0,8,15,0,3,4,0,34
SAL51560,0,0,0,0,0,0,0,3,0,10
SAL51561,0,0,0,29,39,16,23,13,6,120
SAL51562,0,0,0,12,10,9,10,7,8,60
SAL51563,0,0,0,0,0,0,0,5,5,16
SAL51564,231,23,390,2304,2894,1186,730,2208,365,9687
SAL51565,63,6,181,1274,1687,780,482,968,137,5330
SAL51566,0,0,0,3,10,3,6,10,0,36
SAL51567,3,0,16,279,365,182,115,183,78,1204
SAL51568,0,0,0,4,7,3,0,5,5,21
SAL51569,97,36,276,1491,2035,982,719,1703,449,7380
SAL51570,0,0,0,0,0,0,0,5,0,5
SAL51571,0,0,0,6,6,0,3,3,0,23
SAL51572,3,0,6,29,50,11,11,35,8,150
SAL51573,9,3,31,75,123,53,42,157,51,501
SAL51574,0,0,0,6,8,0,0,0,0,15
SAL51575,0,0,0,4,0,0,0,3,5,20
SAL51576,0,0,0,4,5,0,0,12,9,24
SAL51577,4,0,9,210,300,119,80,245,77,1025
SAL51578,28,45,97,982,1238,349,218,634,259,3684
SAL51579,0,0,0,0,0,0,0,0,0,0
SAL51580,73,9,108,1498,1688,373,249,1432,385,5618
SAL51581,0,0,0,14,17,13,20,16,0,83
SAL51582,0,0,8,66,83,61,46,49,23,333
SAL51583,0,0,0,5,14,3,4,8,6,42
SAL51584,0,0,0,14,16,8,8,3,6,56
SAL51585,8,0,14,90,107,69,59,118,270,713
SAL51586,5,0,5,72,101,63,53,94,45,430
SAL51587,0,0,3,20,14,7,14,15,4,70
SAL51588,43,7,101,1076,1325,464,361,2043,476,5745
SAL51589,0,0,8,15,33,17,20,17,15,114
SAL51590,0,0,0,4,3,0,0,11,8,28
SAL51591,0,0,0,0,3,0,0,0,0,5
SAL51592,3,0,3,158,212,70,80,136,49,710
SAL51593,94,7,120,614,866,346,217,571,157,2772
SAL51594,0,0,5,82,122,46,59,67,52,428
SAL51595,0,0,0,0,3,0,0,0,0,10
SAL51596,0,0,0,0,0,3,3,0,0,8
SAL51597,0,0,0,3,7,0,12,0,3,27
SAL51598,0,0,0,0,0,0,0,0,0,4
SAL51599,0,0,0,0,0,0,0,0,0,0
SAL51600,3,4,11,47,77,34,35,54,45,289
SAL51601,0,0,0,243,376,142,105,290,288,1446
SAL51602,0,0,0,0,6,0,0,8,14,28
SAL51603,0,0,0,5,3,5,0,0,0,18
SAL51604,0,0,0,3,5,0,0,0,3,21
SAL51605,0,0,0,0,3,0,0,0,3,9
SAL51606,0,0,4,7,14,10,7,19,5,59
SAL51607,0,0,0,0,5,0,4,0,0,15
SAL51608,0,0,0,4,8,0,0,0,0,10
SAL51609,0,0,0,9,9,11,3,3,0,37
SAL51610,85,60,198,968,1266,446,316,1020,406,4413
SAL51611,0,0,0,16,23,6,8,36,16,94
SAL51612,118,14,235,3414,4118,1994,1575,3499,445,15044
SAL51613,3,0,3,23,35,15,19,21,23,133
SAL51614,6,3,17,156,187,90,99,143,95,782
SAL51615,0,0,0,24,26,14,7,36,14,108
SAL51616,0,4,11,112,150,72,51,90,27,504
SAL51617,142,12,225,1227,1460,548,369,1734,264,5606
SAL51618,0,0,0,75,74,19,9,115,150,437
SAL51619,0,0,0,35,39,33,16,13,18,157
SAL51620,0,0,0,22,24,22,3,21,19,103
SAL51621,0,0,0,0,4,7,4,7,7,30
SAL51622,0,0,0,22,48,25,21,13,7,139
SAL51623,45,7,103,1182,1387,697,541,1089,132,5029
SAL51624,0,0,0,68,131,47,48,58,31,375
SAL51625,16,4,37,412,614,255,207,706,244,2442
SAL51626,0,0,0,0,0,0,0,0,0,0
SAL51627,0,0,0,0,0,3,3,0,0,14
SAL51628,0,0,0,3,4,0,0,8,0,21
SAL51629,0,0,6,66,42,28,29,48,18,227
SAL51630,0,0,0,3,8,3,4,5,3,30
SAL51631,0,0,0,8,11,3,5,5,5,37
SAL51632,14,0,16,136,170,86,75,198,66,731
SAL51633,0,0,0,9,10,0,4,0,0,21
SAL51634,3,0,3,27,47,26,23,22,19,160
SAL51635,21,8,62,256,361,178,124,368,148,1436
SAL51636,5,0,3,33,34,20,23,42,26,172
SAL51637,9,5,28,221,294,150,78,253,57,1049
SAL51638,143,4,241,923,1089,493,289,782,125,3697
SAL51639,0,0,0,0,0,0,0,0,0,0
SAL51640,9,0,11,82,114,81,82,125,50,538
SAL51641,75,16,177,1865,2415,1088,658,1634,201,7851
SAL51642,0,0,0,28,26,11,13,14,0,98
SAL51643,0,0,0,0,0,0,0,0,0,0
SAL51644,0,0,0,4,6,3,4,0,6,32
SAL51645,0,0,0,3,9,4,5,11,5,31
SAL51646,3,7,6,122,179,85,79,133,1899,2494
SAL51647,7,5,21,192,305,160,138,187,75,1050
SAL51648,0,0,3,14,23,9,3,6,0,58
SAL51649,0,0,0,4,7,9,7,3,7,39
SAL51650,0,0,9,12,11,11,9,23,10,65
SAL51651,9,0,15,217,282,155,118,242,115,1123
SAL51652,0,0,3,56,69,31,43,67,26,283
SAL51653,0,0,0,0,0,0,0,0,0,0
SAL51654,3,4,9,43,73,32,24,100,41,314
SAL51655,0,0,0,0,4,0,0,10,0,15
SAL51656,0,4,0,179,159,51,40,122,168,717
SAL51657,0,0,0,3,4,0,0,0,10,18
SAL51658,0,0,0,3,0,4,0,0,0,13
SAL51659,0,0,0,20,34,20,16,29,19,146
SAL51660,114,31,224,456,644,313,252,692,145,2500
SAL51661,0,0,0,0,0,0,0,0,0,0
SAL51662,0,0,4,22,25,12,11,75,142,287
SAL51663,0,0,7,8,22,8,7,10,16,68
SAL51664,3,0,15,209,277,184,124,106,80,980
SAL51665,0,0,0,51,85,32,39,37,19,265
SAL51666,7,0,20,499,707,293,231,421,94,2250
SAL51667,78,31,151,1555,2110,895,855,2249,612,8266
SAL51668,0,0,0,10,3,4,4,3,0,22
SAL51669,0,0,0,0,0,0,0,0,0,0
SAL51670,34,3,71,1305,1751,674,528,1466,325,6047
SAL51671,0,0,6,32,25,12,14,36,7,129
SAL51672,0,0,0,0,3,0,0,5,0,15
SAL51673,0,0,0,4,3,4,0,3,3,17
SAL51674,0,0,0,10,7,3,10,12,8,51
SAL51675,0,0,12,80,126,37,74,92,31,434
SAL51676,0,0,0,0,11,3,0,5,4,20
SAL51677,0,0,0,12,25,7,4,17,0,64
SAL51678,0,0,3,18,26,10,3,10,10,79
SAL51679,0,0,0,0,0,0,0,0,0,0
SAL51680,0,0,7,10,18,11,7,15,13,79
SAL51681,0,0,0,0,0,0,0,0,0,0
SAL51682,0,0,0,0,0,0,0,0,0,0
SAL51683,0,0,0,11,26,4,9,11,0,60
SAL51684,0,0,0,12,20,11,5,8,10,57
SAL51685,0,0,0,6,5,5,3,0,9,27
SAL51686,0,0,0,10,18,0,5,8,4,39
SAL51687,0,0,0,4,0,0,0,0,0,6
SAL51688,257,30,445,2595,3085,1101,712,2860,515,10865
SAL51689,0,0,0,10,29,11,4,14,3,71
SAL51690,41,13,93,324,495,295,277,487,200,2072
SAL51691,0,0,0,11,10,4,3,6,0,36
SAL51692,0,0,0,9,24,10,10,5,22,79
SAL51693,0,0,0,5,7,0,3,4,0,15
SAL51694,0,0,0,10,9,0,0,7,0,24
SAL51695,0,0,4,56,86,44,29,29,28,266
SAL51696,0,0,0,0,6,0,4,0,3,10
SAL51697,0,0,0,5,3,0,3,0,15,29
SAL51698,0,0,0,0,0,0,0,0,0,0
SAL51699,0,0,0,0,0,0,0,0,0,0
SAL59494,10,23,30,870,963,339,278,1476,3362,7285
SAL59797,0,0,0,33,21,10,15,214,222,516
